wave_id,wave_name,task_id,task_type,title,priority,cutover_blocker,complexity,execution_owner,validator_owner,required_skills,dependencies,target_files_scope,actions,verification,acceptance_criteria,required_evidence,rollback,revision_notes,status
W0,"Baseline, freeze, and evidence",T-V00,wave-validation,Independently validate W0 exit gate,P0,yes,M,independent-leaf-validator,parent-accepts-verdict,"dev-judge,dev-faithfulness-guard; dev-security-guardian when triggered","T-000,T-001,T-002,T-003,T-004,T-005,T-006,T-007,T-008,T-009",.specs/changes/harness-skill-based-migration/evidence/w0-validation/,"Review every task outcome, changed scope, evidence, acceptance criterion, and rollback readiness. | Run the wave-specific static/integration/security checks. | Use an independent validator that did not implement the wave tasks. | Issue PASS, FAIL, or BLOCKED; FAIL creates remediation tasks in the same wave. | Write local memory first and duplicate the validation event to the memory MCP.",Run the wave exit checklist and all wave-specific checks defined in Task-Specs.,"Every wave task is done, explicitly skipped with approval, or blocked with a remediation task. | No critical or high unresolved defect remains. | Evidence paths and checksums are complete. | The next wave remains blocked until PASS.","W0 validation report, command/test logs, scope audit, memory event status.",Reopen the failed W0 tasks; do not advance to the next wave.,Added because v1 required wave validation but omitted validation tasks from the master backlog and CSV.,pending
W1,Canonical architecture and source-of-truth decisions,T-010,architecture-decision,Create ADR for built-in primary hosts,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-003,T-V00",.specs/changes/.../adr/ADR-primary-hosts.md,Document why only built-in `build` and `plan` remain primary. | Define the role of each built-in host. | Define the rule that every custom agent must be a subagent.,Task-Spec must define exact commands before execution.,ADR is accepted and contains consequences and rollback. | No custom primary exception remains implicit.,Accepted ADR.,Revert ADR status.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-011,architecture-decision,Create ADR for single-writer TODO,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-003,T-004,T-V00",.specs/changes/.../adr/ADR-single-writer-todo.md,Define the parent as the only TODO writer. | Define the leaf `todo_projection` response envelope. | Define status transition rules and blocked-task handling.,Task-Spec must define exact commands before execution.,Ownership and allowed transitions are unambiguous. | No leaf writes directly to TODO.,Accepted ADR and transition table.,Revert ADR status.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-012,architecture-decision,Create ADR for dual memory,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-002,T-004,T-V00",.specs/changes/.../adr/ADR-dual-memory.md,"Define `.specs` as authoritative operational state. | Define the memory MCP as semantic duplication and retrieval. | Define event IDs, idempotency, retry, pending-sync state, and conflict resolution.",Task-Spec must define exact commands before execution.,Authority and conflict rules are explicit. | MCP failure cannot corrupt or block local authoritative state unless a gate explicitly requires it.,Accepted ADR and event schema draft.,Revert ADR status.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-013,architecture-decision,Create ADR separating AgentSpec and Altitude workflows,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-004,T-V00",.specs/changes/.../adr/ADR-workflow-separation.md,Keep `sdd/architecture/WORKFLOW_CONTRACTS.yaml` authoritative only for AgentSpec `/workflow:*` commands. | Define a separate Altitude contract and activation route. | Prohibit cross-workflow phase inference unless an explicit bridge is defined.,Task-Spec must define exact commands before execution.,"Each workflow has a unique contract, phase model, artifacts, gates, and entrypoints. | The same state file cannot silently represent both lifecycles.",Accepted ADR and workflow comparison matrix.,Revert ADR status.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-014,architecture-decision,Define canonical source-of-truth hierarchy,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-010,T-011,T-012,T-013,T-V00",.specs/shared/source-of-truth-contract.md,"Define precedence among user instruction, active task, allocation, Altitude contract, AgentSpec contract, artifacts, state, rules, skills, memory, MCP results, and inference. | Define stop behavior for conflicts. | Classify each source as current-authoritative, verification-required, historical-only, or inference-only.",Task-Spec must define exact commands before execution.,Every migration surface has one owning source. | Conflict behavior is deterministic.,Contract and conflict examples.,Revert contract.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-015,architecture-decision,Create file ownership and migration matrix,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-014,T-V00",.specs/changes/.../file-migration-matrix.md,"Classify files as keep, modify, create, delete, archive, or review. | Name the target owner for every behavior moved out of an agent. | Identify temporary compatibility states and their removal condition.",Task-Spec must define exact commands before execution.,No file deletion is proposed without a target owner and parity test. | All new files have a clear purpose and authority.,Approved matrix.,Revert matrix.,Carried from v1; enriched with deterministic gates in v2.,pending
W1,Canonical architecture and source-of-truth decisions,T-016,architecture-decision,Create ADR for staged activation and rule loading,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-014,T-008,T-V00",.specs/changes/harness-skill-based-migration/adr/ADR-staged-activation-and-rule-loading.md,Define which instructions are always loaded and which are lazy. | Use the OpenCode `instructions` field only for the compact kernel/global dispatch layer. | Require explicit read of phase/activity rules because AGENTS references are not automatically expanded. | Define staged AGENTS/config files and atomic cutover.,Task-Spec must define exact commands before execution.,No glob loads all rule files permanently. | The active runtime is unchanged until W12 cutover. | Rule-loading failures have a deterministic stop condition.,Accepted ADR and load-order diagram.,Revert ADR status.,Added by deterministic v2 audit.,pending
W1,Canonical architecture and source-of-truth decisions,T-017,architecture-decision,"Create ADR for delegation allowlist, concurrency, and manual invocation",P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-010,T-011,T-V00",.specs/changes/harness-skill-based-migration/adr/ADR-delegation-control.md,"Set parent `permission.task` to default deny with an explicit allowlist. | Define built-in General, Explore, and Scout disposition. | Set default concurrency to one active leaf; allow parallelism only for pre-registered independent tasks. | Define manual `@subagent` invocation as out-of-band and unable to close managed tasks.",Task-Spec must define exact commands before execution.,The parent cannot invoke an unregistered subagent. | Every Task call references an existing parent TODO ID. | Manual invocation cannot mutate managed state or claim validation.,Accepted ADR and permission examples.,Revert ADR status.,Added by deterministic v2 audit.,pending
W1,Canonical architecture and source-of-truth decisions,T-018,architecture-decision,Create schema and compatibility-versioning policy,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-014,T-V00",.specs/shared/schema-versioning-contract.md; schemas/,"Define versions and compatibility rules for workflow, state, task, allocation, leaf result, memory event, MCP registry, and validation verdict. | Define additive, breaking, migration-required, and unsupported changes. | Require schema validation in pre-commit and runtime tests.",Task-Spec must define exact commands before execution.,Every machine-readable artifact has a schema ID and version. | Breaking changes require an explicit migration. | Unknown versions stop mutation.,"Contract, schema registry, compatibility fixtures.",Remove new contract/schemas.,Added by deterministic v2 audit.,pending
W1,Canonical architecture and source-of-truth decisions,T-019,migration-policy,Define in-flight change migration and canonical control surface,P0,yes,L,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-009,T-013,T-015,T-V00",.specs/changes/harness-skill-based-migration/in-flight-migration-policy.md; control ownership decision,"Classify every active change as finish-on-v1, migrate-to-v2, freeze, or archive. | Define the migration mapping for old agent/phase references. | Choose the canonical responsibility of root `control/` and `.specs/control/`. | Prevent the cutover while an unmanaged active change remains.",Task-Spec must define exact commands before execution.,Every in-flight change has one disposition. | Control surfaces no longer compete for the same authority. | Cutover preflight can detect an incompatible active change.,Migration matrix and control-surface decision.,Restore pre-migration state from T-001.,Added by deterministic v2 audit.,pending
W1,Canonical architecture and source-of-truth decisions,T-V01,wave-validation,Independently validate W1 exit gate,P0,yes,M,independent-leaf-validator,parent-accepts-verdict,"dev-judge,dev-faithfulness-guard; dev-security-guardian when triggered","T-010,T-011,T-012,T-013,T-014,T-015,T-016,T-017,T-018,T-019",.specs/changes/harness-skill-based-migration/evidence/w1-validation/,"Review every task outcome, changed scope, evidence, acceptance criterion, and rollback readiness. | Run the wave-specific static/integration/security checks. | Use an independent validator that did not implement the wave tasks. | Issue PASS, FAIL, or BLOCKED; FAIL creates remediation tasks in the same wave. | Write local memory first and duplicate the validation event to the memory MCP.",Run the wave exit checklist and all wave-specific checks defined in Task-Specs.,"Every wave task is done, explicitly skipped with approval, or blocked with a remediation task. | No critical or high unresolved defect remains. | Evidence paths and checksums are complete. | The next wave remains blocked until PASS.","W1 validation report, command/test logs, scope audit, memory event status.",Reopen the failed W1 tasks; do not advance to the next wave.,Added because v1 required wave validation but omitted validation tasks from the master backlog and CSV.,pending
W2,Altitude workflow contract,T-020,workflow-contract,Create Altitude workflow contract skeleton,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-013,T-014,T-V01",.specs/shared/altitude-workflow-contract.yaml,"Define version, authority, ownership, lifecycle ID, state location, and invariants. | Declare phases: intent, structure, design_plan, execution, validation, ship. | Declare parent-only TODO/state write and forbidden recursive delegation.",Task-Spec must define exact commands before execution.,YAML parses and passes schema validation. | The contract contains no agent identity dependency.,Contract file and parser output.,Remove the new contract.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-021,workflow-contract,Define START and state-resolution contract,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-020,T-V01",.specs/shared/altitude-workflow-contract.yaml; .specs/shared/state-resolution-contract.md,"Define repository/config/state discovery before planning or execution. | Define active change and active phase resolution. | Define conflict stop conditions across TODO, artifacts, `.specs`, and memory MCP.",Task-Spec must define exact commands before execution.,A new session can deterministically restore or create a change. | No phase is inferred silently when sources conflict.,State-resolution scenarios.,Revert contract sections.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-022,workflow-contract,Define Intent phase,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-021,T-V01",.specs/shared/altitude-workflow-contract.yaml; .specs/templates/intent-template.md,"Define purpose, inputs, mandatory questions, outputs, non-goals, and approval gate. | Require problem, stakeholders, constraints, success criteria, and scope confirmation. | Define when an intent summary is sufficient versus a durable artifact.",Task-Spec must define exact commands before execution.,Intent cannot exit with a critical ambiguity open. | User confirmation evidence is required.,Validated fixture for a completed Intent phase.,Revert phase definition/template.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-023,workflow-contract,Define Structure phase,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-021,T-V01",.specs/shared/altitude-workflow-contract.yaml; .specs/templates/structure-template.md,"Require on-disk structure inspection, dependency mapping, affected surfaces, source-of-truth resolution, risks, and forbidden boundaries. | Require CodeGraph-first behavior when `.codegraph/` exists. | Define the evidence required to confirm scope.",Task-Spec must define exact commands before execution.,Structure is evidence-based rather than inferred from stale docs. | Affected and unaffected surfaces are explicit.,Structure fixture and evidence checklist.,Revert phase definition/template.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-024,workflow-contract,Define Design/Plan phase,P0,yes,L,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-022,T-023,T-V01",.specs/shared/altitude-workflow-contract.yaml; templates for PRD/ADR/TEST-SPEC/Task-Spec,"Define conditional artifact rules for PRD, ADR, TEST-SPEC, task pack, and allocation. | Require atomic leaf tasks, acceptance criteria, verification, evidence, do-not-touch boundaries, and rollback. | Require user approval for the task or batch selected for execution.",Task-Spec must define exact commands before execution.,No generic execution task is considered ready. | A task needing another specialist is rejected as non-atomic.,Ready-task fixture and rejection fixtures.,Revert phase definition.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-025,workflow-contract,Define Execution phase,P0,yes,L,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-024,T-V01",.specs/shared/altitude-workflow-contract.yaml; execution-loop and allocation contracts,"Define parent orchestration and leaf execution envelopes. | Require broad-read/bounded-write, no recursive task, no leaf TODO, no silent scope expansion. | Define local checks, evidence, and result envelope.",Task-Spec must define exact commands before execution.,Leaf behavior is bounded and deterministic. | The parent can update TODO from a structured result without reading a child session's private state.,Execution contract fixtures.,Revert phase definition.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-026,workflow-contract,Define Validation phase,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-025,T-V01",.specs/shared/altitude-workflow-contract.yaml; validation contract/template,"Define executor local checks and independent block validation. | Require acceptance, scope, faithfulness, security-when-triggered, evidence, and rollback review. | Define pass, fail, blocked, and accepted-gap outcomes.",Task-Spec must define exact commands before execution.,A block cannot close without independent validation. | Validation failure routes back to execution with a remediation task.,Pass/fail/block fixtures.,Revert phase definition.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-027,workflow-contract,Define Ship phase and archive,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-026,T-V01",.specs/shared/altitude-workflow-contract.yaml; ship-summary template; archive rules,"Define final report, residual risks, decisions, lessons, rollback reference, memory checkpoint, and archive movement. | Require state reconciliation before archive. | Define when follow-up changes are created rather than hidden in the shipped change.",Task-Spec must define exact commands before execution.,Shipped state is internally consistent and recoverable. | No active and archived duplicate remains without an explicit reason.,Ship fixture and archive check.,Restore change from archive using documented procedure.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-028,workflow-contract,Implement Altitude contract validator,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-020,T-021,T-022,T-023,T-024,T-025,T-026,T-027,T-V01",tools/altitude-workflow-check.sh; tools/altitude-workflow-check.contract.md; test/contracts/altitude-workflow/,"Validate required contract fields, phase IDs, transitions, gates, and referenced files. | Detect missing templates, invalid transitions, duplicate authority, and nonexistent rules. | Add a pre-commit or CI-compatible check.",Task-Spec must define exact commands before execution.,Invalid contract fixtures fail with actionable messages. | The canonical contract passes.,Tool output and test results.,Remove validator and hook.,Carried from v1; enriched with deterministic gates in v2.,pending
W2,Altitude workflow contract,T-029,workflow-contract,"Define overrides, emergency classification, and workflow bridge prohibition",P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-021,T-024,T-013,T-V01",.specs/shared/altitude-workflow-contract.yaml; .specs/shared/workflow-bridge-policy.md,Prohibit phase skipping for complex work. | Classify truly tactical work before Altitude rather than treating it as an emergency phase override. | Define the only allowed repair transitions. | Prohibit automatic phase/state mapping between AgentSpec and Altitude.,Task-Spec must define exact commands before execution.,"Every legal transition is enumerated. | Complex execution cannot bypass Intent, Structure, or Design/Plan. | AgentSpec commands cannot advance Altitude state.",Transition table and negative fixtures.,Revert contract/policy changes.,Added by deterministic v2 audit.,pending
W2,Altitude workflow contract,T-V02,wave-validation,Independently validate W2 exit gate,P0,yes,M,independent-leaf-validator,parent-accepts-verdict,"dev-judge,dev-faithfulness-guard; dev-security-guardian when triggered","T-020,T-021,T-022,T-023,T-024,T-025,T-026,T-027,T-028,T-029",.specs/changes/harness-skill-based-migration/evidence/w2-validation/,"Review every task outcome, changed scope, evidence, acceptance criterion, and rollback readiness. | Run the wave-specific static/integration/security checks. | Use an independent validator that did not implement the wave tasks. | Issue PASS, FAIL, or BLOCKED; FAIL creates remediation tasks in the same wave. | Write local memory first and duplicate the validation event to the memory MCP.",Run the wave exit checklist and all wave-specific checks defined in Task-Specs.,"Every wave task is done, explicitly skipped with approval, or blocked with a remediation task. | No critical or high unresolved defect remains. | Evidence paths and checksums are complete. | The next wave remains blocked until PASS.","W2 validation report, command/test logs, scope audit, memory event status.",Reopen the failed W2 tasks; do not advance to the next wave.,Added because v1 required wave validation but omitted validation tasks from the master backlog and CSV.,pending
W3,Rules layer and deterministic START,T-030,rule,Create rules directory and registry,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-028,T-V02",rules/README.md; rules/ACTIVITY_RULE_INDEX.md,"Create a canonical registry listing each rule, trigger, owner, required skills, required MCPs, and fallback. | Prohibit duplicate canonical behavior across rules. | Mark always-required versus on-demand rules.",Task-Spec must define exact commands before execution.,Every rule has one trigger and one owner. | The index can be statically checked against real files.,Rule registry.,Remove new rule files.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-031,rule,Create START rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-021,T-030,T-V02",rules/START.md,"Define root/config discovery, request classification, state resolution, active workflow, active phase, rule selection, skill selection, MCP preflight, TODO restoration, and conflict handling. | Require the parent to run START before any non-trivial planning, file mutation, or delegation. | Define a lightweight path for small direct answers.",Task-Spec must define exact commands before execution.,START is deterministic and does not preload the entire harness. | All stop conditions are explicit.,START scenario tests.,Remove rule.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-032,rule,Create TODO ownership rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-011,T-030,T-V02",rules/TODO_OWNERSHIP.md,"Define parent-only creation, update, close, reopen, and block operations. | Define stable IDs for blocks, tasks, and validation tasks. | Define `todo_projection` acceptance and rejection.",Task-Spec must define exact commands before execution.,There is no legal leaf path to direct TODO mutation. | Status transitions are auditable.,Rule plus transition tests.,Remove rule.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-033,rule,Create leaf subagent execution rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-025,T-032,T-V02",rules/SUBAGENT_EXECUTION.md,"Define atomic-task eligibility and the exact prompt envelope. | Require task ID, goal, inputs, allowed writes, forbidden paths, required skills, required tools, verification, evidence, and stop conditions. | Require immediate return to the parent if a second specialty or write expansion is needed.",Task-Spec must define exact commands before execution.,A leaf receives one verifiable unit of work. | Nested delegation is explicitly forbidden and tested.,Prompt template and fixtures.,Remove rule.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-034,rule,Create validation and evidence rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-026,T-032,T-033,T-V02",rules/VALIDATION_EVIDENCE.md,"Define local checks, independent block validation, evidence quality, and accepted-gap rules. | Require a separate validation TODO item for each block. | Define judge, faithfulness, and security skill triggers.",Task-Spec must define exact commands before execution.,Evidence required for each verdict is explicit. | The validator cannot validate its own implementation output.,Validation templates and tests.,Remove rule.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-035,rule,Create grounding rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-014,T-030,T-V02",rules/GROUNDING.md,Define current on-disk files as primary implementation evidence. | Require CodeGraph when available for structural code questions. | Require Context7 or official docs for unstable library/API claims. | Require citations or explicit `source not found` for architectural claims.,Task-Spec must define exact commands before execution.,Grounding order is deterministic. | Stale indexes and prose cannot override current files.,Grounding decision fixtures.,Remove rule.,Carried from v1; enriched with deterministic gates in v2.,pending
W3,Rules layer and deterministic START,T-036,rule,Create CLI and tool routing rule,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-030,T-V02",rules/TOOL_ROUTING.md; rules/RTK_AND_SHELL.md,"Require `gh` for GitHub operations and `git` for local repository operations. | Require `gcloud` for Google Cloud, `aws` for AWS, `kubectl` for Kubernetes, and `docker` for Docker when applicable. | Prefix shell commands with `rtk` by default; allow raw commands for debugging or unsupported output. | Define preferred search/read order and safe command chains.",Task-Spec must define exact commands before execution.,"Tool choice is based on target system, not model improvisation. | RTK exceptions are documented and bounded.",Routing fixtures and command examples.,Remove rules.,Carried from v1; enriched with deterministic gates in v2.,pending
