name,source,description,mode,model,temperature,steps,declared_tools,declared_permissions,effective_task,effective_todowrite,custom_primary,dev_conversion_target
"data-engineering.spark-performance-analyzer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.spark-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.spark-streaming-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.spark-troubleshooter","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.sql-optimizer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.streaming-engineer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"dev.agent-router","file","Use this agent for AgentSpec routing, intent matching, grounding selection, or minimal KB loading.","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"dev.codebase-explorer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","yes"
"dev.faithfulness-guard","file",">-","subagent","","","","","read=allow","allow (global permission)","allow (global permission)","no","yes"
"dev.judge-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","yes"
"dev.meeting-analyst","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"dev.prompt-crafter","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","yes"
"dev.security-guardian","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","yes"
"dev.shell-script-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","yes"
"graph-router","file","Use this agent for Graphify-first intent routing when the system needs minimal-context task classification before falling back to config/routing.json.","subagent","","","","","read=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-ai-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-cicd-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-logging-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-pipeline-developer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"platform.fabric-security-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.ai-prompt-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.code-cleaner","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.code-documenter","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.code-reviewer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.llm-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"python.python-developer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"test.data-contracts-engineer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"test.data-quality-analyst","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"test.test-generator","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.brainstorm-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.build-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.define-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.design-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.iterate-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.ship-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"workflow.validate-agent","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
